Column,Data Type,Missing,Missing %,Unique,Min,Max,Constant column
StudentID,int64,0,0.0,2392,1001.0,3392.0,False
Age,int64,0,0.0,4,15.0,18.0,False
Gender,int64,0,0.0,2,0.0,1.0,False
Ethnicity,int64,0,0.0,4,0.0,3.0,False
ParentalEducation,int64,0,0.0,5,0.0,4.0,False
StudyTimeWeekly,float64,0,0.0,2392,0.001,19.978,False
Absences,int64,0,0.0,30,0.0,29.0,False
Tutoring,int64,0,0.0,2,0.0,1.0,False
ParentalSupport,int64,0,0.0,5,0.0,4.0,False
Extracurricular,int64,0,0.0,2,0.0,1.0,False
Sports,int64,0,0.0,2,0.0,1.0,False
Music,int64,0,0.0,2,0.0,1.0,False
Volunteering,int64,0,0.0,2,0.0,1.0,False
GPA,float64,0,0.0,2371,0.0,4.0,False
GradeClass,int64,0,0.0,5,0.0,4.0,False
